rnb1k1nr/ppq2p1p/4p1p1/2ppP3/3P2Q1/P1P5/2PB1PPP/R3KBNR b KQkq - 1 8
8/1p3K2/3k4/PQ1pq3/8/2P5/2P5/8 b - - 46 82
8/1p1n4/3k1B2/Pp1ppP2/6K1/2P5/2P5/8 w - - 5 48
k6r/1pB2p2/p1b1p3/P1np4/6P1/2PB1P2/2P3K1/4R3 w - - 1 33
rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR b KQkq - 0 6
8/1p6/3k2K1/Pp1p1P2/4p3/2P5/2P5/8 b - - 1 50
r3k1nr/ppqb1p2/2n1p1pp/2ppP3/3P2QP/P1P2N2/2PB1PP1/R3KB1R w KQkq - 0 11
k5rr/1pqbnp2/p1n1pQ2/P1PpP1B1/8/2PB1N2/2P2PP1/R4RK1 b - - 0 20
1k4r1/1p1n4/5p2/Pp1ppPP1/8/2P1B1K1/2P5/7R b - - 0 41
k3b1r1/1pq2p2/p1n1pQ2/P1Ppn2r/5B2/2PB1NP1/2P2PK1/R3R3 b - - 1 24
1k4r1/1p1n4/5p2/Pp1pp1P1/5P2/2P1B1K1/2P5/7R w - - 0 41
2k2r2/1p1n1R2/8/Pp1ppPp1/8/2P1B1K1/2P5/8 w - - 4 44
8/1p1k2K1/4q3/Pp1p4/8/2PQ4/2P5/8 b - - 7 58
8/1p2q1K1/3k4/PQ1p4/8/2P5/2P5/8 w - - 5 62
k1r4r/ppqbnp2/2n1pQpp/P1PpP3/7P/2P2N2/2PBBPP1/R3K2R b KQ - 0 16
rnb1k1nr/ppq2p1p/4p1p1/2ppP3/3P2Q1/P1P5/2P2PPP/R1B1KBNR w KQkq - 0 8
rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4
k1r5/1p3p2/p1b1p3/P1npB3/6P1/2PB1PK1/2P5/4R3 b - - 4 34
8/1p3K2/3k4/PQ1p3q/8/2P5/2P5/8 w - - 51 85
r3k1nr/ppqb1p1p/2n1p1p1/2ppP3/3P2QP/P1P2N2/2PB1PP1/R3KB1R b KQkq - 0 10
5K2/1p6/3k4/PQ1p4/6q1/2P5/2P5/8 b - - 34 76
8/1p4K1/3k4/PQ1p4/5q2/2P5/2P5/8 b - - 18 68
8/1p3K2/3k4/PQ1p2q1/8/2P5/2P5/8 b - - 42 80
8/1p6/3k2K1/PQ1p4/4q3/2P5/2P5/8 w - - 7 63
8/1p3K2/3k4/PQ1p4/8/2P3q1/2P5/8 b - - 20 69
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3
1k4r1/1p1n1p2/4p3/Pp1p2P1/3B1P2/2P3K1/2P5/4R3 w - - 1 39
8/1p6/3k1K2/Pp1p1P2/4p3/2P5/2P5/8 w - - 0 50
8/1p2q3/3k2K1/PQ1p4/8/2P5/2P5/8 b - - 6 62
8/1p3K2/3k4/PQ1p4/5q2/2P5/2P5/8 w - - 17 68
1k4r1/1p1n1p2/8/Pp1pp1P1/5P2/2P1B1K1/2P5/7R b - - 1 40
rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4
k3b1r1/1pB2p2/p1n1pQ2/P1Pp3r/6n1/2PB1NP1/2P2PK1/R3R3 b - - 0 25
